purpose,cells,as_of,moratorium,sample,formula,distribution,likelihood,minutes,evaluations,cached
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + hpi_growth + policy_rate_gap + term_spread + inflation + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,33.39836475434998,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + hpi_growth + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,51.86089644761669,12.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + hpi_growth + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,even origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + hpi_growth + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,15.413229804900038,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,odd origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + hpi_growth + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,17.315666968916716,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,23.819748376999996,3.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,even origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,14.708085652200014,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,odd origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + term_spread + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,16.542100105616676,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,29.181088179533315,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,even origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,13.97203409186665,4.0,False
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,odd origination years,"fico_s + orig_ltv + dti + term_years + cltv_drift + unemp_gap + nfci_lagged + policy_rate_gap + sentiment + starts_growth + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,15.64466984084999,4.0,False
