param,covariate,coef,se(coef),time_ratio,coef lower 95%,coef upper 95%,p
lambda_,Intercept,9.382967223698596,0.007998126303599033,11884.225645029877,9.36729118419974,9.398643263197453,0.0
lambda_,fico_s,0.3978995255380349,0.0005585996727940221,1.4886944466191987,0.3968046902975828,0.39899436077848704,0.0
lambda_,orig_ltv,-0.015277775390831945,3.923940569591281e-05,0.9848383377507162,-0.015354683212770691,-0.0152008675688932,0.0
lambda_,dti,-0.01806611624175496,5.162090207426848e-05,0.9820960977086841,-0.018167291350669995,-0.017964941132839925,0.0
lambda_,term_years,-0.0351860922587475,0.0001187228278130226,0.9654257412831757,-0.035418784725403774,-0.03495339979209122,0.0
lambda_,cltv_drift,-0.01914608350952215,5.9007893224373467e-05,0.9810360385869651,-0.019261736855045508,-0.019030430163998795,0.0
lambda_,unemp_gap,-0.04388997874926703,0.00029643363569997375,0.9570592485363627,-0.04447097799904525,-0.043308979499488816,0.0
lambda_,nfci_lagged,-0.1273324117911099,0.0016215486700164466,0.8804409549936449,-0.13051058878352095,-0.12415423479869885,0.0
lambda_,rate_gap,-0.010176057014933751,0.0007033834955304919,0.9898755438737303,-0.011554663333493405,-0.008797450696374097,1.9498901882892776e-47
lambda_,hpi_growth,0.7507822946617578,0.015283154881661166,2.1186567823796265,0.7208278615235544,0.7807367277999613,0.0
lambda_,policy_rate_gap,0.03957907035029607,0.0004539969531270511,1.0403727582712108,0.03868925267307613,0.04046888802751601,0.0
lambda_,term_spread,0.2229951377112831,0.0009580592386630839,1.2498144967622842,0.2211173761084476,0.2248728993141186,0.0
lambda_,credit_spread,0.12332163777253084,0.0016665605262070273,1.1312482145953857,0.12005523916310895,0.12658803638195273,0.0
lambda_,inflation,5.21110230739473,0.04439098757163135,183.29599540598983,5.124097570516167,5.2981070442732925,0.0
lambda_,equity_return,-0.440494975649278,0.0034465217537737554,0.6437177176191909,-0.44725003415860837,-0.4337399171399476,0.0
lambda_,vix,-0.041042743571760805,7.999150520450788e-05,0.9597881042993025,-0.04119952404103079,-0.04088596310249082,0.0
lambda_,sentiment,-0.0048696359897576645,6.1459606374751e-05,0.9951422014650851,-0.004990094604756185,-0.004749177374759144,0.0
lambda_,starts_growth,-0.45979974392578155,0.003870619647222413,0.6314100765503632,-0.4673860190321906,-0.45221346881937247,0.0
lambda_,"C(purpose, Treatment('purchase'))[T.refinance_cashout]",-0.24402599285947454,0.001393649987832606,0.7834672694435562,-0.24675749664268112,-0.24129448907626797,0.0
lambda_,"C(purpose, Treatment('purchase'))[T.refinance_rate_term]",-0.0389935565445693,0.0014027193544864564,0.9617569061641617,-0.041742835959780025,-0.03624427712935857,4.517053024105433e-170
lambda_,"C(occupancy, Treatment('owner_occupied'))[T.investor]",-0.07303275932893877,0.002212674482082804,0.9295703774252263,-0.07736952162333188,-0.06869599703454565,6.541242484413435e-239
lambda_,"C(occupancy, Treatment('owner_occupied'))[T.second_home]",0.12434885612666391,0.003096852638200683,1.1324108505627686,0.11827913649036272,0.1304185757629651,0.0
rho_,Intercept,0.33469291880048174,0.0007146122652483157,1.397511169917466,0.33329230449768443,0.33609353310327905,0.0
